Date,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
2021-01-07,41.00297546386719,41.79830925187992,40.963602912359306,41.64081904584838,2746867,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-01-08,40.53837966918945,41.27071809510115,39.884789527664616,41.1447240122185,2143574,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-01-11,41.02660751342773,41.44396236236836,40.018661087971246,40.0816597221477,2514336,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-01-12,41.4439582824707,41.68019362096649,40.782491721555246,41.065979203168354,2313485,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-01-13,40.00290298461914,40.86910864459171,39.61704753422271,40.609247263813536,3318480,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-01-14,39.357181549072266,40.13676560020373,39.31780900169823,40.01864795808161,2552352,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-01-15,39.569801330566406,39.78241374348304,38.49098326665528,39.06582822945295,3727469,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-01-19,39.67217254638672,40.33363907954866,39.6564260621901,40.03440512563337,3180778,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-01-20,40.15251922607422,40.23914074214839,39.62492323250159,40.02652833086663,3521654,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-01-21,40.68012237548828,41.08960075535204,39.71154863743118,39.78241733337448,3127027,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-01-22,40.656497955322266,40.90848612491642,39.87691371906935,40.38876330074781,1662461,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-01-25,40.81398391723633,41.711685660080754,39.89265610695383,40.94785122013028,3657456,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-01-26,40.6722412109375,41.51482077090515,40.64074190166189,41.07384630172598,2117280,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-01-27,39.70367050170898,40.561999779347296,39.39656331619441,39.95565547801118,3362304,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-01-28,39.49105453491211,40.34151373485099,39.4123094288175,40.08165234702992,3599059,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-01-29,39.6170539855957,40.13677683178545,38.52248924917696,39.37294222028484,6191011,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-02-01,39.20756149291992,40.29425576843609,38.459476807829134,40.11313952716083,4935322,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-02-02,39.63279724121094,40.097397796174654,39.20756923827885,39.57767503393944,3390816,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-02-03,39.86116790771485,40.14465541889293,39.17607837592895,39.45169264385728,3527251,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-02-04,36.81369018554688,38.59334708788798,36.60107779564938,37.86888523869798,6725347,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-02-05,37.03418350219727,37.404289298579016,36.65620446424824,37.00268419165618,5173661,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-02-08,37.67202377319336,37.67990018686557,37.00268404571914,37.32554404715192,3165254,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-02-09,37.87676239013672,37.94763742360133,37.54603232416287,37.648400323309644,2669568,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-02-10,38.11299896240234,38.238993023774775,37.54603044443008,37.98700490102991,2567875,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-02-11,37.931884765625,38.23112186725096,37.44366131983983,38.23112186725096,2996717,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-02-12,38.72722244262695,39.07370217152857,37.7980181547471,37.845267120762415,3754819,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-02-16,38.73510360717773,39.02646118805764,38.32562517316687,38.91621675027497,3701914,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-02-17,38.59423828125,38.94437266226335,38.29185401458178,38.57832585055658,2444429,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-02-18,38.06904220581055,38.73747976367866,38.02129849771514,38.33960163876188,2372515,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-02-19,38.95234680175781,39.09558117108482,38.06109647897898,38.172502769326336,3015091,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-02-22,39.310428619384766,39.549156788218966,38.59424411288219,38.93642233025232,3406867,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-02-23,39.92317199707031,40.13802515312734,39.016006035046125,39.38205298384595,3605395,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-02-24,40.42448806762695,40.63934117569677,39.787881754400274,39.970906790705456,2589206,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-02-25,40.11414337158203,40.965606046076765,39.81175904228543,40.4483653911244,2219395,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-02-26,39.509368896484375,40.16189089470003,39.19902513995556,39.85154393260428,3441610,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-03-01,41.18841552734375,41.31573742876155,39.915202924299024,40.026609187343766,4572058,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-03-02,41.59425354003906,41.8966442845965,41.0610972382541,41.33165349769816,4499405,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-03-03,42.35022735595703,42.76402118501782,41.54651155570553,41.777280328106,4154410,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-03-04,41.41918563842773,42.8435920447324,40.79053873810318,42.2388169999729,3336115,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-03-05,43.09028244018555,43.23352000467548,41.60221647642749,41.90460404095762,3329462,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-03-08,44.32369995117188,45.34226874750505,42.93908109035128,42.93908109035128,5726054,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-03-09,43.59956741333008,44.48285498734895,43.43245479480717,43.71892990591274,3557981,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-03-10,43.46428298950195,44.01335810976382,42.81176422969236,43.39266742237658,4390109,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-03-11,42.89929962158203,43.65527171140134,42.68444648810874,43.488162294003416,4507219,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-03-12,42.98683166503906,43.26534413973605,42.80380661721323,42.970916025371565,3725040,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-03-15,42.53324508666992,43.06640456456569,41.94438568099558,42.97887015343253,3831274,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-03-16,42.214942932128906,42.45367111009672,41.54650852161257,42.3820523361497,2740003,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-03-17,43.09823226928711,43.233510380320006,42.08761973619266,42.12740722734548,2696074,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-03-18,42.90725326538086,43.82237529464936,42.748103280586456,43.47224404587492,2296694,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-03-19,42.63669967651367,43.33696862900777,42.3581839801316,42.78789345375436,10774368,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-03-22,41.8807258605957,42.14332588547898,41.164541351814,42.14332588547898,4461706,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-03-23,41.01334381103516,41.992128254458486,40.76666265317717,41.62607821445902,2807482,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-03-24,41.53854751586914,42.47754134710856,41.3157381912344,41.3157381912344,3223546,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-03-25,43.24147033691406,43.37674845964915,41.65791394755412,41.76136399795356,2992282,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-03-26,43.85420989990234,43.90195361673497,43.06640972205979,43.68710047985388,2362589,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-03-29,43.392669677734375,44.16455096177197,43.145982068847125,43.76667278849511,2260896,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-03-30,43.76667022705078,43.80646092705996,43.05048891595354,43.3290045826173,2679283,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-03-31,43.026615142822266,43.98948079989032,43.00274008276746,43.623433943993625,3483005,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-04-01,43.2016830444336,43.20964246672981,42.43775801573598,42.978870509207866,2688470,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-04-05,43.52794647216797,43.83033723063805,43.21760270179576,43.726887170135925,2902944,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-04-06,43.92582702636719,44.06110515972091,43.313092509266525,43.313092509266525,2568931,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-04-07,43.71892547607422,44.37144421608976,43.57568793503504,44.22820988061724,2276419,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-04-08,43.46428298950195,43.64730802958924,42.93112671380141,43.10619233160804,2017382,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-04-09,43.71892547607422,44.02131299109768,43.2096410715312,43.838287956562425,1700582,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-04-12,44.514686584472656,44.55447408228344,43.80646463564698,43.80646463564698,2841907,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-04-13,43.98948669433594,44.387368085476034,43.48020223213437,44.24413052822024,1925405,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-04-14,44.2839241027832,44.40328661316373,43.76668014666599,43.81442707415868,2567347,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-04-15,45.095584869384766,45.35818489054642,44.28391295094874,44.56242861059999,3077606,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-04-16,45.65262222290039,45.81973164077911,45.19108146796386,45.45368152383512,3084365,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-04-19,45.50142288208008,45.89134160388733,45.07966967741165,45.82768225486506,1901645,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-04-20,44.88868713378906,45.64465911160785,44.37940273955777,45.46163408077839,2012419,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-04-21,45.28657150268555,45.45368091833817,44.793202678701824,44.793202678701824,1368787,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-04-22,44.46694564819336,45.39002398956347,44.46694564819336,45.366148924931366,2825856,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
